@relation Data
@attribute ID {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36'}
@attribute Reason.for.absence {'0','1','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','21','22','23','24','25','26','27','28'}
@attribute Month.of.absence {'0','1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute Day.of.the.week {'2','3','4','5','6'}
@attribute Seasons {'1','2','3','4'}
@attribute Transportation.expense numeric
@attribute Distance.from.Residence.to.Work numeric
@attribute Service.time numeric
@attribute Age numeric
@attribute Work.load.Average.day numeric
@attribute Hit.target numeric
@attribute Disciplinary.failure {'0','1'}
@attribute Education {'1','2','3','4'}
@attribute Son numeric
@attribute Social.drinker {'0','1'}
@attribute Social.smoker {'0','1'}
@attribute Pet numeric
@attribute Weight numeric
@attribute Height numeric
@attribute Body.mass.index numeric
@attribute Absenteeism.time.in.hours {'A','B'}
@data
'11','26','7','3','1',289,36,13,33,239.554,97,'0','1',2,'1','0',1,90,172,30,'A'
'36','0','7','3','1',118,13,18,50,239.554,97,'1','1',1,'1','0',0,98,178,31,'A'
'3','23','7','4','1',179,51,18,38,239.554,97,'0','1',0,'1','0',0,89,170,31,'A'
'7','7','7','5','1',279,5,14,39,239.554,97,'0','1',2,'1','1',0,68,168,24,'A'
'11','23','7','5','1',289,36,13,33,239.554,97,'0','1',2,'1','0',1,90,172,30,'A'
'3','23','7','6','1',179,51,18,38,239.554,97,'0','1',0,'1','0',0,89,170,31,'A'
'10','22','7','6','1',361,52,3,28,239.554,97,'0','1',1,'1','0',4,80,172,27,'B'
'20','23','7','6','1',260,50,11,36,239.554,97,'0','1',4,'1','0',0,65,168,23,'A'
'1','22','7','2','1',235,11,14,37,239.554,97,'0','3',1,'0','0',1,88,172,29,'B'
'20','1','7','2','1',260,50,11,36,239.554,97,'0','1',4,'1','0',0,65,168,23,'B'
'20','1','7','3','1',260,50,11,36,239.554,97,'0','1',4,'1','0',0,65,168,23,'B'
'20','11','7','4','1',260,50,11,36,239.554,97,'0','1',4,'1','0',0,65,168,23,'B'
'3','11','7','4','1',179,51,18,38,239.554,97,'0','1',0,'1','0',0,89,170,31,'A'
'3','23','7','4','1',179,51,18,38,239.554,97,'0','1',0,'1','0',0,89,170,31,'A'
'24','14','7','6','1',246,25,16,41,239.554,97,'0','1',0,'1','0',0,67,170,23,'B'
'3','23','7','6','1',179,51,18,38,239.554,97,'0','1',0,'1','0',0,89,170,31,'A'
'3','21','7','2','1',179,51,18,38,239.554,97,'0','1',0,'1','0',0,89,170,31,'B'
'6','11','7','5','1',189,29,13,33,239.554,97,'0','1',2,'0','0',2,69,167,25,'B'
'33','23','8','4','1',248,25,14,47,205.917,92,'0','1',2,'0','0',1,86,165,32,'A'
'18','10','8','4','1',330,16,4,28,205.917,92,'0','2',0,'0','0',0,84,182,25,'B'
'3','11','8','2','1',179,51,18,38,205.917,92,'0','1',0,'1','0',0,89,170,31,'A'
'20','28','8','6','1',260,50,11,36,205.917,92,'0','1',4,'1','0',0,65,168,23,'A'
'11','18','8','2','1',289,36,13,33,205.917,92,'0','1',2,'1','0',1,90,172,30,'B'
'10','25','8','2','1',361,52,3,28,205.917,92,'0','1',1,'1','0',4,80,172,27,'B'
'11','23','8','3','1',289,36,13,33,205.917,92,'0','1',2,'1','0',1,90,172,30,'A'
'30','28','8','4','1',157,27,6,29,205.917,92,'0','1',0,'1','1',0,75,185,22,'A'
'11','18','8','4','1',289,36,13,33,205.917,92,'0','1',2,'1','0',1,90,172,30,'B'
'3','23','8','6','1',179,51,18,38,205.917,92,'0','1',0,'1','0',0,89,170,31,'A'
'3','18','8','2','1',179,51,18,38,205.917,92,'0','1',0,'1','0',0,89,170,31,'B'
'2','18','8','5','1',235,29,12,48,205.917,92,'0','1',1,'0','1',5,88,163,33,'B'
'1','23','8','5','1',235,11,14,37,205.917,92,'0','3',1,'0','0',1,88,172,29,'A'
'2','18','8','2','1',235,29,12,48,205.917,92,'0','1',1,'0','1',5,88,163,33,'B'
'3','23','8','2','1',179,51,18,38,205.917,92,'0','1',0,'1','0',0,89,170,31,'A'
'10','23','8','2','1',361,52,3,28,205.917,92,'0','1',1,'1','0',4,80,172,27,'A'
'11','24','8','3','1',289,36,13,33,205.917,92,'0','1',2,'1','0',1,90,172,30,'B'
'19','11','8','5','1',291,50,12,32,205.917,92,'0','1',0,'1','0',0,65,169,23,'A'
'2','28','8','6','1',235,29,12,48,205.917,92,'0','1',1,'0','1',5,88,163,33,'B'
'20','23','8','6','1',260,50,11,36,205.917,92,'0','1',4,'1','0',0,65,168,23,'A'
'27','23','9','3','1',184,42,7,27,241.476,92,'0','1',0,'0','0',0,58,167,21,'A'
'34','23','9','2','1',118,10,10,37,241.476,92,'0','1',0,'0','0',0,83,172,28,'A'
'3','23','9','3','1',179,51,18,38,241.476,92,'0','1',0,'1','0',0,89,170,31,'A'
'5','19','9','3','1',235,20,13,43,241.476,92,'0','1',1,'1','0',0,106,167,38,'B'
'14','23','9','4','1',155,12,14,34,241.476,92,'0','1',2,'1','0',0,95,196,25,'A'
'34','23','9','2','1',118,10,10,37,241.476,92,'0','1',0,'0','0',0,83,172,28,'A'
'3','23','9','3','1',179,51,18,38,241.476,92,'0','1',0,'1','0',0,89,170,31,'A'
'15','23','9','5','1',291,31,12,40,241.476,92,'0','1',1,'1','0',1,73,171,25,'A'
'20','22','9','6','1',260,50,11,36,241.476,92,'0','1',4,'1','0',0,65,168,23,'B'
'20','0','9','2','4',260,50,11,36,241.476,92,'1','1',4,'1','0',0,65,168,23,'A'
'29','0','9','2','4',225,26,9,28,241.476,92,'1','1',1,'0','0',2,69,169,24,'A'
'28','23','9','3','4',225,26,9,28,241.476,92,'0','1',1,'0','0',2,69,169,24,'A'
'34','23','9','3','4',118,10,10,37,241.476,92,'0','1',0,'0','0',0,83,172,28,'A'
'11','0','9','3','4',289,36,13,33,241.476,92,'1','1',2,'1','0',1,90,172,30,'A'
'36','0','9','3','4',118,13,18,50,241.476,92,'1','1',1,'1','0',0,98,178,31,'A'
'28','18','9','4','4',225,26,9,28,241.476,92,'0','1',1,'0','0',2,69,169,24,'A'
'3','23','9','4','4',179,51,18,38,241.476,92,'0','1',0,'1','0',0,89,170,31,'A'
'13','0','9','4','4',369,17,12,31,241.476,92,'1','1',3,'1','0',0,70,169,25,'A'
'33','23','9','6','4',248,25,14,47,241.476,92,'0','1',2,'0','0',1,86,165,32,'A'
'3','23','9','6','4',179,51,18,38,241.476,92,'0','1',0,'1','0',0,89,170,31,'A'
'20','23','9','6','4',260,50,11,36,241.476,92,'0','1',4,'1','0',0,65,168,23,'A'
'3','23','10','3','4',179,51,18,38,253.465,93,'0','1',0,'1','0',0,89,170,31,'A'
'34','23','10','3','4',118,10,10,37,253.465,93,'0','1',0,'0','0',0,83,172,28,'A'
'36','0','10','4','4',118,13,18,50,253.465,93,'1','1',1,'1','0',0,98,178,31,'A'
'22','23','10','5','4',179,26,9,30,253.465,93,'0','3',0,'0','0',0,56,171,19,'A'
'3','23','10','6','4',179,51,18,38,253.465,93,'0','1',0,'1','0',0,89,170,31,'A'
'28','23','10','6','4',225,26,9,28,253.465,93,'0','1',1,'0','0',2,69,169,24,'A'
'34','23','10','3','4',118,10,10,37,253.465,93,'0','1',0,'0','0',0,83,172,28,'A'
'28','23','10','4','4',225,26,9,28,253.465,93,'0','1',1,'0','0',2,69,169,24,'A'
'33','23','10','4','4',248,25,14,47,253.465,93,'0','1',2,'0','0',1,86,165,32,'A'
'15','23','10','5','4',291,31,12,40,253.465,93,'0','1',1,'1','0',1,73,171,25,'B'
'3','23','10','4','4',179,51,18,38,253.465,93,'0','1',0,'1','0',0,89,170,31,'B'
'28','23','10','4','4',225,26,9,28,253.465,93,'0','1',1,'0','0',2,69,169,24,'A'
'20','19','10','5','4',260,50,11,36,253.465,93,'0','1',4,'1','0',0,65,168,23,'B'
'15','14','10','3','4',291,31,12,40,253.465,93,'0','1',1,'1','0',1,73,171,25,'B'
'28','28','10','3','4',225,26,9,28,253.465,93,'0','1',1,'0','0',2,69,169,24,'A'
'11','26','10','4','4',289,36,13,33,253.465,93,'0','1',2,'1','0',1,90,172,30,'B'
'10','23','10','6','4',361,52,3,28,253.465,93,'0','1',1,'1','0',4,80,172,27,'A'
'20','28','10','6','4',260,50,11,36,253.465,93,'0','1',4,'1','0',0,65,168,23,'A'
'3','23','11','5','4',179,51,18,38,306.345,93,'0','1',0,'1','0',0,89,170,31,'A'
'28','23','11','4','4',225,26,9,28,306.345,93,'0','1',1,'0','0',2,69,169,24,'A'
'3','13','11','5','4',179,51,18,38,306.345,93,'0','1',0,'1','0',0,89,170,31,'B'
'17','21','11','5','4',179,22,17,40,306.345,93,'0','2',2,'0','1',0,63,170,22,'B'
'15','23','11','5','4',291,31,12,40,306.345,93,'0','1',1,'1','0',1,73,171,25,'B'
'6','22','11','2','4',189,29,13,33,306.345,93,'0','1',2,'0','0',2,69,167,25,'B'
'28','23','11','4','4',225,26,9,28,306.345,93,'0','1',1,'0','0',2,69,169,24,'A'
'14','6','11','6','4',155,12,14,34,306.345,93,'0','1',2,'1','0',0,95,196,25,'B'
'28','23','11','4','4',225,26,9,28,306.345,93,'0','1',1,'0','0',2,69,169,24,'A'
'17','21','11','4','4',179,22,17,40,306.345,93,'0','2',2,'0','1',0,63,170,22,'B'
'28','13','11','6','4',225,26,9,28,306.345,93,'0','1',1,'0','0',2,69,169,24,'A'
'20','28','11','6','4',260,50,11,36,306.345,93,'0','1',4,'1','0',0,65,168,23,'A'
'33','28','11','2','4',248,25,14,47,306.345,93,'0','1',2,'0','0',1,86,165,32,'A'
'28','28','11','3','4',225,26,9,28,306.345,93,'0','1',1,'0','0',2,69,169,24,'A'
'15','23','11','5','4',291,31,12,40,306.345,93,'0','1',1,'1','0',1,73,171,25,'A'
'33','23','12','3','4',248,25,14,47,261.306,97,'0','1',2,'0','0',1,86,165,32,'A'
'36','23','12','4','4',118,13,18,50,261.306,97,'0','1',1,'1','0',0,98,178,31,'A'
'1','26','12','4','4',235,11,14,37,261.306,97,'0','3',1,'0','0',1,88,172,29,'B'
'28','23','12','5','4',225,26,9,28,261.306,97,'0','1',1,'0','0',2,69,169,24,'A'
'20','26','12','6','4',260,50,11,36,261.306,97,'0','1',4,'1','0',0,65,168,23,'B'
'10','22','12','4','4',361,52,3,28,261.306,97,'0','1',1,'1','0',4,80,172,27,'B'
'28','28','12','5','4',225,26,9,28,261.306,97,'0','1',1,'0','0',2,69,169,24,'A'
'20','28','12','6','4',260,50,11,36,261.306,97,'0','1',4,'1','0',0,65,168,23,'A'
'28','23','12','3','4',225,26,9,28,261.306,97,'0','1',1,'0','0',2,69,169,24,'A'
'10','22','12','4','4',361,52,3,28,261.306,97,'0','1',1,'1','0',4,80,172,27,'B'
'34','27','12','6','4',118,10,10,37,261.306,97,'0','1',0,'0','0',0,83,172,28,'A'
'24','19','12','6','2',246,25,16,41,261.306,97,'0','1',0,'1','0',0,67,170,23,'B'
'28','23','12','6','2',225,26,9,28,261.306,97,'0','1',1,'0','0',2,69,169,24,'A'
'28','23','1','4','2',225,26,9,28,308.593,95,'0','1',1,'0','0',2,69,169,24,'A'
'34','19','1','2','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'34','27','1','3','2',118,10,10,37,308.593,95,'0','1',0,'0','0',0,83,172,28,'A'
'14','18','1','3','2',155,12,14,34,308.593,95,'0','1',2,'1','0',0,95,196,25,'B'
'28','27','1','4','2',225,26,9,28,308.593,95,'0','1',1,'0','0',2,69,169,24,'A'
'27','23','1','5','2',184,42,7,27,308.593,95,'0','1',0,'0','0',0,58,167,21,'A'
